"idsensore","data","valore","stato","idoperatore"
"10001","2024-12-31T22:00:00.000","112.1","VA","1"
"10001","2024-12-31T23:00:00.000","120.3","VA","1"
"10001","2025-01-01T00:00:00.000","71.3","VA","1"
"10013","2025-01-01T00:00:00.000","74","VA","1"
"10016","2024-12-31T22:00:00.000","3.1","VA","1"
"10016","2024-12-31T23:00:00.000","3.2","VA","1"
"10016","2025-01-01T00:00:00.000","3.1","VA","1"
"10017","2024-12-31T22:00:00.000","77.5","VA","1"
"10017","2024-12-31T23:00:00.000","66.8","VA","1"
"10017","2025-01-01T00:00:00.000","54.2","VA","1"
"10018","2024-12-31T22:00:00.000","2.7","VA","1"
"10018","2024-12-31T23:00:00.000","2.9","VA","1"
"10018","2025-01-01T00:00:00.000","2.6","VA","1"
"10019","2024-12-31T22:00:00.000","38.3","VA","1"
"10019","2024-12-31T23:00:00.000","41.0","VA","1"
"10019","2025-01-01T00:00:00.000","37.2","VA","1"
"10020","2024-12-31T22:00:00.000","2.7","VA","1"
"10020","2024-12-31T23:00:00.000","2.4","VA","1"
"10020","2025-01-01T00:00:00.000","2.2","VA","1"
"10025","2024-12-31T22:00:00.000","5.3","VA","1"
"10025","2024-12-31T23:00:00.000","6.2","VA","1"
"10025","2025-01-01T00:00:00.000","4.0","VA","1"
"10027","2025-01-01T00:00:00.000","58","VA","1"
"10028","2025-01-01T00:00:00.000","45","VA","1"
"10035","2024-12-31T22:00:00.000","2.6","VA","1"
"10035","2024-12-31T23:00:00.000","4.5","VA","1"
"10035","2025-01-01T00:00:00.000","4.4","VA","1"
"10036","2024-12-31T22:00:00.000","3.3","VA","1"
"10036","2024-12-31T23:00:00.000","5.3","VA","1"
"10036","2025-01-01T00:00:00.000","1.8","VA","1"
"10037","2024-12-31T22:00:00.000","66.1","VA","1"
"10037","2024-12-31T23:00:00.000","86.0","VA","1"
"10037","2025-01-01T00:00:00.000","66.5","VA","1"
"10038","2024-12-31T22:00:00.000","32.9","VA","1"
"10038","2024-12-31T23:00:00.000","32.3","VA","1"
"10038","2025-01-01T00:00:00.000","28.9","VA","1"
"10041","2024-12-31T22:00:00.000","1.2","VA","1"
"10041","2024-12-31T23:00:00.000","0.8","VA","1"
"10041","2025-01-01T00:00:00.000","0.0","VA","1"
"10043","2025-01-01T00:00:00.000","53","VA","1"
"10070","2024-12-31T22:00:00.000","2.4","VA","1"
"10070","2024-12-31T23:00:00.000","2.2","VA","1"
"10070","2025-01-01T00:00:00.000","2.1","VA","1"
"10072","2025-01-01T00:00:00.000","70","VA","1"
"10078","2024-12-31T22:00:00.000","172.9","VA","1"
"10078","2024-12-31T23:00:00.000","148.0","VA","1"
"10078","2025-01-01T00:00:00.000","128.3","VA","1"
"10079","2024-12-31T22:00:00.000","48.6","VA","1"
"10079","2024-12-31T23:00:00.000","43.7","VA","1"
"10079","2025-01-01T00:00:00.000","35.5","VA","1"
"10081","2024-12-31T22:00:00.000","3.1","VA","1"
"10081","2024-12-31T23:00:00.000","3.0","VA","1"
"10081","2025-01-01T00:00:00.000","2.9","VA","1"
"10083","2025-01-01T00:00:00.000","78","VA","1"
"10085","2025-01-01T00:00:00.000","66","VA","1"
"10095","2024-12-31T22:00:00.000","62.5","VA","1"
"10095","2024-12-31T23:00:00.000","69.0","VA","1"
"10095","2025-01-01T00:00:00.000","57.1","VA","1"
"10097","2024-12-31T22:00:00.000","32.3","VA","1"
"10097","2024-12-31T23:00:00.000","24.0","VA","1"
"10097","2025-01-01T00:00:00.000","23.4","VA","1"
"10103","2025-01-01T00:00:00.000","81","VA","1"
"10165","2024-12-31T22:00:00.000","41.6","VA","1"
"10165","2024-12-31T23:00:00.000","42.1","VA","1"
"10165","2025-01-01T00:00:00.000","40.6","VA","1"
"10166","2024-12-31T22:00:00.000","1.2","VA","1"
"10166","2024-12-31T23:00:00.000","1.0","VA","1"
"10166","2025-01-01T00:00:00.000","0.9","VA","1"
"10167","2024-12-31T22:00:00.000","22.1","VA","1"
"10167","2024-12-31T23:00:00.000","29.4","VA","1"
"10167","2025-01-01T00:00:00.000","19.7","VA","1"
"10168","2024-12-31T22:00:00.000","2.7","VA","1"
"10168","2024-12-31T23:00:00.000","2.6","VA","1"
"10168","2025-01-01T00:00:00.000","2.6","VA","1"
"10169","2024-12-31T22:00:00.000","0.7","VA","1"
"10169","2024-12-31T23:00:00.000","0.8","VA","1"
"10169","2025-01-01T00:00:00.000","0.8","VA","1"
"10171","2024-12-31T22:00:00.000","6.2","VA","1"
"10171","2024-12-31T23:00:00.000","6.4","VA","1"
"10171","2025-01-01T00:00:00.000","6.3","VA","1"
"10173","2025-01-01T00:00:00.000","77","VA","1"
"10176","2025-01-01T00:00:00.000","59","VA","1"
"10197","2025-01-01T00:00:00.000","51","VA","1"
"10258","2024-12-31T22:00:00.000","45.4","VA","1"
"10258","2024-12-31T23:00:00.000","102.7","VA","1"
"10258","2025-01-01T00:00:00.000","146.1","VA","1"
"10259","2024-12-31T22:00:00.000","5.7","VA","1"
"10259","2024-12-31T23:00:00.000","4.7","VA","1"
"10259","2025-01-01T00:00:00.000","4.5","VA","1"
"10273","2025-01-01T00:00:00.000","250","VA","1"
"10278","2024-12-31T22:00:00.000","258.0","VA","1"
"10278","2024-12-31T23:00:00.000","244.7","VA","1"
"10278","2025-01-01T00:00:00.000","263.5","VA","1"
"10279","2024-12-31T22:00:00.000","70.3","VA","1"
"10279","2024-12-31T23:00:00.000","74.3","VA","1"
"10279","2025-01-01T00:00:00.000","78.1","VA","1"
"10280","2024-12-31T22:00:00.000","7.1","VA","1"
"10280","2024-12-31T23:00:00.000","6.8","VA","1"
"10280","2025-01-01T00:00:00.000","7.0","VA","1"
"10282","2024-12-31T22:00:00.000","3.9","VA","1"
"10282","2024-12-31T23:00:00.000","4.3","VA","1"
"10282","2025-01-01T00:00:00.000","4.6","VA","1"
"10283","2025-01-01T00:00:00.000","119","VA","1"
"10285","2024-12-31T22:00:00.000","66.7","VA","1"
"10285","2024-12-31T23:00:00.000","46.3","VA","1"
"10285","2025-01-01T00:00:00.000","43.7","VA","1"
"10286","2024-12-31T22:00:00.000","52.1","VA","1"
"10286","2024-12-31T23:00:00.000","40.0","VA","1"
"10286","2025-01-01T00:00:00.000","35.4","VA","1"
"10288","2024-12-31T22:00:00.000","6.7","VA","1"
"10288","2024-12-31T23:00:00.000","15.1","VA","1"
"10288","2025-01-01T00:00:00.000","18.1","VA","1"
"10290","2025-01-01T00:00:00.000","30","VA","1"
"10301","2024-12-31T22:00:00.000","1.1","VA","1"
"10301","2024-12-31T23:00:00.000","0.9","VA","1"
"10301","2025-01-01T00:00:00.000","0.7","VA","1"
"10320","2025-01-01T00:00:00.000","169","VA","1"
"10326","2024-12-31T22:00:00.000","33.5","VA","1"
"10326","2024-12-31T23:00:00.000","34.2","VA","1"
"10326","2025-01-01T00:00:00.000","35.6","VA","1"
"10327","2024-12-31T22:00:00.000","8.9","VA","1"
"10327","2024-12-31T23:00:00.000","5.8","VA","1"
"10327","2025-01-01T00:00:00.000","5.5","VA","1"
"10329","2024-12-31T22:00:00.000","55.6","VA","1"
"10329","2024-12-31T23:00:00.000","58.5","VA","1"
"10329","2025-01-01T00:00:00.000","75.6","VA","1"
"10331","2024-12-31T22:00:00.000","46.6","VA","1"
"10331","2024-12-31T23:00:00.000","48.9","VA","1"
"10331","2025-01-01T00:00:00.000","36.5","VA","1"
"10333","2024-12-31T22:00:00.000","182.1","VA","1"
"10333","2024-12-31T23:00:00.000","178.5","VA","1"
"10333","2025-01-01T00:00:00.000","112.6","VA","1"
"10335","2025-01-01T00:00:00.000","81","VA","1"
"10339","2025-01-01T00:00:00.000","154","VA","1"
"10343","2025-01-01T00:00:00.000","75","VA","1"
"10347","2025-01-01T00:00:00.000","72","VA","1"
"10352","2025-01-01T00:00:00.000","59","VA","1"
"10384","2024-12-31T22:00:00.000","3.6","VA","1"
"10384","2024-12-31T23:00:00.000","2.7","VA","1"
"10384","2025-01-01T00:00:00.000","2.4","VA","1"
"10396","2025-01-01T00:00:00.000","115","VA","1"
"10399","2025-01-01T00:00:00.000","76","VA","1"
"10405","2025-01-01T00:00:00.000","65","VA","1"
"10431","2024-12-31T22:00:00.000","95.4","VA","1"
"10431","2024-12-31T23:00:00.000","90.2","VA","1"
"10431","2025-01-01T00:00:00.000","84.3","VA","1"
"10432","2024-12-31T22:00:00.000","42.8","VA","1"
"10432","2024-12-31T23:00:00.000","38.7","VA","1"
"10432","2025-01-01T00:00:00.000","36.8","VA","1"
"10437","2024-12-31T22:00:00.000","4.8","VA","1"
"10437","2024-12-31T23:00:00.000","3.8","VA","1"
"10437","2025-01-01T00:00:00.000","3.9","VA","1"
"10438","2025-01-01T00:00:00.000","51","VA","1"
"10449","2025-01-01T00:00:00.000","34","VA","1"
"10451","2024-12-31T22:00:00.000","237.0","VA","1"
"10451","2024-12-31T23:00:00.000","201.4","VA","1"
"10451","2025-01-01T00:00:00.000","156.8","VA","1"
"10452","2024-12-31T22:00:00.000","61.1","VA","1"
"10452","2024-12-31T23:00:00.000","56.6","VA","1"
"10452","2025-01-01T00:00:00.000","58.3","VA","1"
"10454","2024-12-31T22:00:00.000","3.3","VA","1"
"10454","2024-12-31T23:00:00.000","3.4","VA","1"
"10454","2025-01-01T00:00:00.000","3.4","VA","1"
"10456","2025-01-01T00:00:00.000","108","VA","1"
"10457","2024-12-31T22:00:00.000","64.7","VA","1"
"10457","2024-12-31T23:00:00.000","60.2","VA","1"
"10457","2025-01-01T00:00:00.000","52.1","VA","1"
"10458","2024-12-31T22:00:00.000","40.3","VA","1"
"10458","2024-12-31T23:00:00.000","36.8","VA","1"
"10458","2025-01-01T00:00:00.000","35.8","VA","1"
"10463","2024-12-31T22:00:00.000","-9999","NA","1"
"10463","2024-12-31T23:00:00.000","-9999","NA","1"
"10463","2025-01-01T00:00:00.000","-9999","NA","1"
"10483","2025-01-01T00:00:00.000","120","VA","1"
"10484","2025-01-01T00:00:00.000","108","VA","1"
"10491","2025-01-01T00:00:00.000","11","VA","1"
"10505","2024-12-31T22:00:00.000","124.2","VA","1"
"10505","2024-12-31T23:00:00.000","137.2","VA","1"
"10505","2025-01-01T00:00:00.000","98.0","VA","1"
"10506","2024-12-31T22:00:00.000","3.8","VA","1"
"10506","2024-12-31T23:00:00.000","4.2","VA","1"
"10506","2025-01-01T00:00:00.000","3.7","VA","1"
"10507","2024-12-31T22:00:00.000","49.7","VA","1"
"10507","2024-12-31T23:00:00.000","50.7","VA","1"
"10507","2025-01-01T00:00:00.000","44.4","VA","1"
"10511","2024-12-31T22:00:00.000","1.9","VA","1"
"10511","2024-12-31T23:00:00.000","2.0","VA","1"
"10511","2025-01-01T00:00:00.000","1.8","VA","1"
"10547","2025-01-01T00:00:00.000","75","VA","1"
"10548","2025-01-01T00:00:00.000","83","VA","1"
"10580","2024-12-31T22:00:00.000","2.0","VA","1"
"10580","2024-12-31T23:00:00.000","2.2","VA","1"
"10580","2025-01-01T00:00:00.000","2.3","VA","1"
"10581","2024-12-31T22:00:00.000","21.9","VA","1"
"10581","2024-12-31T23:00:00.000","19.1","VA","1"
"10581","2025-01-01T00:00:00.000","17.4","VA","1"
"10583","2024-12-31T22:00:00.000","30.4","VA","1"
"10583","2024-12-31T23:00:00.000","27.4","VA","1"
"10583","2025-01-01T00:00:00.000","24.6","VA","1"
"10584","2024-12-31T22:00:00.000","35.9","VA","1"
"10584","2024-12-31T23:00:00.000","37.5","VA","1"
"10584","2025-01-01T00:00:00.000","39.6","VA","1"
"10586","2025-01-01T00:00:00.000","108","VA","1"
"10587","2024-12-31T22:00:00.000","50.6","VA","1"
"10587","2024-12-31T23:00:00.000","42.9","VA","1"
"10587","2025-01-01T00:00:00.000","39.7","VA","1"
"11041","2024-12-31T22:00:00.000","4.7","VA","1"
"11041","2024-12-31T23:00:00.000","4.7","VA","1"
"11041","2025-01-01T00:00:00.000","4.6","VA","1"
"12016","2024-12-31T22:00:00.000","83.7","VA","1"
"12016","2024-12-31T23:00:00.000","88.0","VA","1"
"12016","2025-01-01T00:00:00.000","79.9","VA","1"
"12017","2024-12-31T22:00:00.000","36.3","VA","1"
"12017","2024-12-31T23:00:00.000","33.5","VA","1"
"12017","2025-01-01T00:00:00.000","31.6","VA","1"
"12020","2024-12-31T22:00:00.000","1.7","VA","1"
"12020","2024-12-31T23:00:00.000","1.9","VA","1"
"12020","2025-01-01T00:00:00.000","1.7","VA","1"
"12022","2025-01-01T00:00:00.000","75","VA","1"
"12028","2025-01-01T00:00:00.000","-9999","NA","1"
"12029","2025-01-01T00:00:00.000","25","VA","1"
"12531","2025-01-01T00:00:00.000","85","VA","1"
"12570","2025-01-01T00:00:00.000","44","VA","1"
"12574","2025-01-01T00:00:00.000","32","VA","1"
"12577","2025-01-01T00:00:00.000","132","VA","1"
"12584","2025-01-01T00:00:00.000","140","VA","1"
"12671","2025-01-01T00:00:00.000","2.361","VA","1"
"17042","2024-12-31T22:00:00.000","18.1","VA","1"
"17042","2024-12-31T23:00:00.000","13.0","VA","1"
"17042","2025-01-01T00:00:00.000","11.5","VA","1"
"17122","2025-01-01T00:00:00.000","143","VA","1"
"17126","2024-12-31T22:00:00.000","3.8","VA","1"
"17126","2024-12-31T23:00:00.000","4.0","VA","1"
"17126","2025-01-01T00:00:00.000","4.5","VA","1"
"17127","2024-12-31T22:00:00.000","4.7","VA","1"
"17127","2024-12-31T23:00:00.000","4.5","VA","1"
"17127","2025-01-01T00:00:00.000","4.6","VA","1"
"17159","2025-01-01T00:00:00.000","105","VA","1"
"17162","2025-01-01T00:00:00.000","11","VA","1"
"17285","2024-12-31T22:00:00.000","146.5","VA","1"
"17285","2024-12-31T23:00:00.000","219.5","VA","1"
"17285","2025-01-01T00:00:00.000","198.5","VA","1"
"17286","2024-12-31T22:00:00.000","63.8","VA","1"
"17286","2024-12-31T23:00:00.000","57.2","VA","1"
"17286","2025-01-01T00:00:00.000","48.4","VA","1"
"17288","2024-12-31T22:00:00.000","8.2","VA","1"
"17288","2024-12-31T23:00:00.000","9.2","VA","1"
"17288","2025-01-01T00:00:00.000","8.9","VA","1"
"17290","2025-01-01T00:00:00.000","102","VA","1"
"17293","2025-01-01T00:00:00.000","57","VA","1"
"17295","2024-12-31T22:00:00.000","5.4","VA","1"
"17295","2024-12-31T23:00:00.000","5.6","VA","1"
"17295","2025-01-01T00:00:00.000","5.3","VA","1"
"17297","2024-12-31T22:00:00.000","5.4","VA","1"
"17297","2024-12-31T23:00:00.000","5.3","VA","1"
"17297","2025-01-01T00:00:00.000","5.9","VA","1"
"20004","2024-12-31T22:00:00.000","9.0","VA","1"
"20004","2024-12-31T23:00:00.000","9.0","VA","1"
"20004","2025-01-01T00:00:00.000","10.8","VA","1"
"20020","2024-12-31T22:00:00.000","17.1","VA","1"
"20020","2024-12-31T23:00:00.000","13.8","VA","1"
"20020","2025-01-01T00:00:00.000","13.4","VA","1"
"20031","2024-12-31T22:00:00.000","5.4","VA","1"
"20031","2024-12-31T23:00:00.000","6.4","VA","1"
"20031","2025-01-01T00:00:00.000","7.1","VA","1"
"20032","2024-12-31T22:00:00.000","164.4","VA","1"
"20032","2024-12-31T23:00:00.000","99.7","VA","1"
"20032","2025-01-01T00:00:00.000","54.2","VA","1"
"20034","2024-12-31T22:00:00.000","58.1","VA","1"
"20034","2024-12-31T23:00:00.000","49.1","VA","1"
"20034","2025-01-01T00:00:00.000","42.7","VA","1"
"20041","2024-12-31T22:00:00.000","3.0","VA","1"
"20041","2024-12-31T23:00:00.000","3.4","VA","1"
"20041","2025-01-01T00:00:00.000","2.5","VA","1"
"20042","2024-12-31T22:00:00.000","8.9","VA","1"
"20042","2024-12-31T23:00:00.000","8.9","VA","1"
"20042","2025-01-01T00:00:00.000","10.9","VA","1"
"20082","2024-12-31T22:00:00.000","12.5","VA","1"
"20082","2024-12-31T23:00:00.000","11.9","VA","1"
"20082","2025-01-01T00:00:00.000","11.2","VA","1"
"20104","2025-01-01T00:00:00.000","120","VA","1"
"20154","2024-12-31T22:00:00.000","15.3","VA","1"
"20154","2024-12-31T23:00:00.000","16.5","VA","1"
"20154","2025-01-01T00:00:00.000","14.6","VA","1"
"20155","2025-01-01T00:00:00.000","84","VA","1"
"20156","2024-12-31T22:00:00.000","5.5","VA","1"
"20156","2024-12-31T23:00:00.000","6.0","VA","1"
"20156","2025-01-01T00:00:00.000","6.3","VA","1"
"20157","2025-01-01T00:00:00.000","69","VA","1"
"20197","2025-01-01T00:00:00.000","92","VA","1"
"20216","2024-12-31T22:00:00.000","6.0","VA","1"
"20216","2024-12-31T23:00:00.000","5.4","VA","1"
"20216","2025-01-01T00:00:00.000","5.1","VA","1"
"20358","2025-01-01T00:00:00.000","130","VA","1"
"20401","2024-12-31T22:00:00.000","0.9","VA","1"
"20401","2024-12-31T23:00:00.000","1.1","VA","1"
"20401","2025-01-01T00:00:00.000","0.8","VA","1"
"20428","2025-01-01T00:00:00.000","-9999","NA","1"
"20429","2025-01-01T00:00:00.000","195.1","VA","1"
"20441","2024-12-31T22:00:00.000","8.1","VA","1"
"20441","2024-12-31T23:00:00.000","6.2","VA","1"
"20441","2025-01-01T00:00:00.000","5.8","VA","1"
"20442","2024-12-31T22:00:00.000","2.6","VA","1"
"20442","2024-12-31T23:00:00.000","2.6","VA","1"
"20442","2025-01-01T00:00:00.000","2.5","VA","1"
"20443","2024-12-31T22:00:00.000","4.0","VA","1"
"20443","2024-12-31T23:00:00.000","2.2","VA","1"
"20443","2025-01-01T00:00:00.000","1.9","VA","1"
"20455","2024-12-31T22:00:00.000","9.0","VA","1"
"20455","2024-12-31T23:00:00.000","12.0","VA","1"
"20455","2025-01-01T00:00:00.000","12.5","VA","1"
"20465","2024-12-31T22:00:00.000","3.7","VA","1"
"20465","2024-12-31T23:00:00.000","4.3","VA","1"
"20465","2025-01-01T00:00:00.000","5.8","VA","1"
"20484","2024-12-31T22:00:00.000","12.5","VA","1"
"20484","2024-12-31T23:00:00.000","9.3","VA","1"
"20484","2025-01-01T00:00:00.000","8.9","VA","1"
"20487","2024-12-31T22:00:00.000","1.0","VA","1"
"20487","2024-12-31T23:00:00.000","0.9","VA","1"
"20487","2025-01-01T00:00:00.000","0.8","VA","1"
"20489","2024-12-31T22:00:00.000","88.3","VA","1"
"20489","2024-12-31T23:00:00.000","109.0","VA","1"
"20489","2025-01-01T00:00:00.000","115.0","VA","1"
"20490","2024-12-31T22:00:00.000","44.2","VA","1"
"20490","2024-12-31T23:00:00.000","59.6","VA","1"
"20490","2025-01-01T00:00:00.000","65.2","VA","1"
"20491","2024-12-31T22:00:00.000","20.4","VA","1"
"20491","2024-12-31T23:00:00.000","17.6","VA","1"
"20491","2025-01-01T00:00:00.000","14.9","VA","1"
